Day,Hour,Minute,Memory
5,17,3,31.77589586328157
5,17,2,36.56973368932697
5,17,1,46.285270006033194
5,17,0,35.18527705432305
5,16,59,76.98787273141518
5,16,58,80.90458100953828
5,16,57,83.69814681345122
5,16,56,75.09249673508
5,16,55,85.27194236121528
5,16,54,73.09838135044868
5,16,53,78.12911663009753
5,16,52,77.94001724605951
5,16,51,77.53198889310835
5,16,50,70.16037901183005
5,16,49,78.97155654296726
5,16,48,84.09151091837066
5,16,47,84.0934562426658
5,16,46,85.69759154637471
5,16,45,85.18919387881868
5,16,44,81.14317685190609
5,16,43,77.89026987452011
5,16,42,74.66994730445776
5,16,41,72.66265454695207
5,16,40,74.11096357583342
5,16,39,76.34441571838963
5,16,38,84.62927110879264
5,16,37,71.67262297212294
5,16,36,79.36108341996078
5,16,35,72.90703694250284
5,16,34,71.30716721551123
5,16,33,77.70980680886468
5,16,32,72.62745806285751
5,16,31,74.76245686726624
5,16,30,81.78766553195385
5,16,29,77.47559592387032
5,16,28,80.9022480017218
5,16,27,72.86273434365337
5,16,26,77.1167161616314
5,16,25,82.24794506882576
5,16,24,80.78296382313417
5,16,23,80.31938315742723
5,16,22,80.73576510902193
5,16,21,83.14951395321489
5,16,20,74.25977897333748
5,16,19,80.77675483692101
5,16,18,85.95231533317474
5,16,17,83.51985242560214
5,16,16,82.55312385352724
5,16,15,73.8023176112026
5,16,14,83.86444317341017
5,16,13,85.00240585120936
5,16,12,78.17783925620428
5,16,11,80.60692630561638
5,16,10,84.25163025510808
5,16,9,74.71933149743607
5,16,8,77.34577273482832
5,16,7,73.38637181660792
5,16,6,71.3826683838532
5,16,5,85.50365797219392
5,16,4,71.04295968126844
5,16,3,83.2125863383378
5,16,2,80.74163437855293
5,16,1,81.33823614179055
5,16,0,72.3130932261197
5,15,59,72.0106379467473
5,15,58,78.43340131856031
5,15,57,73.67129053682584
5,15,56,71.50186725794728
5,15,55,79.53917749149446
5,15,54,75.23521718402928
5,15,53,75.56255982052151
5,15,52,82.80195599623644
5,15,51,84.93314409818386
5,15,50,83.60437673111501
5,15,49,83.47690851606434
5,15,48,77.63813952546617
5,15,47,81.86260526736758
5,15,46,81.10079604189833
5,15,45,81.52026587599539
5,15,44,82.51477659098987
5,15,43,74.98219963005823
5,15,42,81.49945424548086
5,15,41,80.80399632797916
5,15,40,79.06747221515691
5,15,39,78.21528895798289
5,15,38,72.40483354812555
5,15,37,72.19794632338535
5,15,36,76.97092577956023
5,15,35,81.7001224331744
5,15,34,79.98427016865764
5,15,33,75.63932290537511
5,15,32,78.35957792788224
5,15,31,80.28980754189679
5,15,30,81.4912576869198
5,15,29,74.50886077662739
5,15,28,79.4973571439768
5,15,27,79.71127761687501
5,15,26,80.71778759236506
5,15,25,84.67706246259081
5,15,24,81.01936559192531
5,15,23,71.457563282603
5,15,22,72.96304724106342
5,15,21,79.45276335733755
5,15,20,73.97615252422868
5,15,19,81.96415531695567
5,15,18,76.81422244238433
5,15,17,82.88067705879969
5,15,16,81.23829604722934
5,15,15,73.85436556330254
5,15,14,74.32473218680282
5,15,13,79.07932692274343
5,15,12,78.96039558550171
5,15,11,75.99058284919947
5,15,10,77.20538630231789
5,15,9,73.10924683091821
5,15,8,79.60066906267464
5,15,7,72.03632256444148
5,15,6,79.22566679073654
5,15,5,73.43450919074526
5,15,4,74.85929147779362
5,15,3,79.33181737373427
5,15,2,81.79383443217966
5,15,1,84.1267190696091
5,15,0,70.30014637045953
5,14,59,75.79756878751678
5,14,58,79.19943973071325
5,14,57,80.32073471513608
5,14,56,73.34607306209149
5,14,55,82.83179461447514
5,14,54,76.3916792180959
5,14,53,76.19590736770225
5,14,52,83.67784018749427
5,14,51,74.23149131037327
5,14,50,73.58612147807398
5,14,49,77.44873302150266
5,14,48,71.63976218177925
5,14,47,74.11825697173029
5,14,46,80.20866603289777
5,14,45,74.51366683384273
5,14,44,79.19678401961586
5,14,43,71.01982366931301
5,14,42,75.26892142296037
5,14,41,75.00434125350681
5,14,40,77.52125485997624
5,14,39,82.89197346316756
5,14,38,71.62128897705044
5,14,37,79.45353213480718
5,14,36,71.67833686072268
5,14,35,74.55688224673584
5,14,34,71.47078385673882
5,14,33,83.82536686083131
5,14,32,82.842005682959
5,14,31,74.9237594344658
5,14,30,83.43446829931622
5,14,29,72.70492761783618
5,14,28,75.50124361179897
5,14,27,77.36717405692708
5,14,26,76.90735945864886
5,14,25,79.88651004372366
5,14,24,79.05413359495023
5,14,23,72.74114791883474
5,14,22,81.5700857738166
5,14,21,72.45640073054462
5,14,20,76.95884308373556
5,14,19,70.28454234015896
5,14,18,81.24104943776932
5,14,17,80.04697184454491
5,14,16,81.22357804092884
5,14,15,72.50525170966945
5,14,14,73.57723166113026
5,14,13,77.84353047753832
5,14,12,81.7289710615429
5,14,11,70.68973203486385
5,14,10,80.84174511423187
5,14,9,70.71260335934842
5,14,8,78.41642512317573
5,14,7,81.93359595374476
5,14,6,72.73588283552726
5,14,5,71.93731569005007
5,14,4,79.8419992411877
5,14,3,76.48374589044195
5,14,2,71.56678311513181
5,14,1,82.99235859814942
5,14,0,73.5754978122579
5,13,59,73.43061878336754
5,13,58,72.84696671070564
5,13,57,79.4926298743251
5,13,56,80.96587643859097
5,13,55,70.03973573740844
5,13,54,70.62965953017384
5,13,53,72.89151439175392
5,13,52,73.20030267318823
5,13,51,81.43070920746331
5,13,50,75.26677141118722
5,13,49,73.14809998276962
5,13,48,77.57008778774079
5,13,47,70.50829129887357
5,13,46,72.84961580708426
5,13,45,74.81967973714181
5,13,44,74.01460223597735
5,13,43,76.08321575125082
5,13,42,72.7870664541305
5,13,41,78.56805676152541
5,13,40,82.85569690283337
5,13,39,70.4253315841294
5,13,38,73.05422327796556
5,13,37,76.06206785553569
5,13,36,74.22447013122482
5,13,35,75.56904303793388
5,13,34,75.61611871315479
5,13,33,72.70325254659575
5,13,32,71.66897018798132
5,13,31,74.64718448510969
5,13,30,82.53477159547353
5,13,29,74.69855602272752
5,13,28,79.24111823267665
5,13,27,74.48063298746182
5,13,26,72.7398351046117
5,13,25,71.92416754394154
5,13,24,77.20569331420997
5,13,23,76.25567675808527
5,13,22,78.02705010578273
5,13,21,79.06992098078464
5,13,20,71.61812833403863
5,13,19,75.30294731883143
5,13,18,70.00747375257195
5,13,17,77.94920268388859
5,13,16,73.19315808494773
5,13,15,71.55693409691173
5,13,14,80.35354813841234
5,13,13,75.79549287316667
5,13,12,81.270416033309
5,13,11,71.01087671339948
5,13,10,80.99045899990082
5,13,9,75.15476173196092
5,13,8,76.32752139091819
5,13,7,81.83655958428328
5,13,6,71.88777985726338
5,13,5,76.09316227103088
5,13,4,81.74100462264984
5,13,3,71.21487863692927
5,13,2,78.04910485452785
5,13,1,78.45809178150964
5,13,0,74.45915633905985
5,12,59,75.53661412190324
5,12,58,75.85005767383603
5,12,57,73.35753927404336
5,12,56,76.96453304013846
5,12,55,71.30669639468402
5,12,54,74.7357655471178
5,12,53,72.83749284506132
5,12,52,71.9829058815096
5,12,51,79.0256077760334
5,12,50,79.87634480841892
5,12,49,72.33273511405164
5,12,48,79.0407856931825
5,12,47,75.43758441427565
5,12,46,71.8843718517094
5,12,45,71.86288329448533
5,12,44,71.89107617861117
5,12,43,80.83885670193833
5,12,42,76.58921774182694
5,12,41,78.40280164211934
5,12,40,72.9622689492021
5,12,39,74.06715778729962
5,12,38,78.27839915294071
5,12,37,72.1625180014307
5,12,36,78.08914995076132
5,12,35,81.82168114369509
5,12,34,71.13652450522588
5,12,33,81.15124218944112
5,12,32,79.87300625717916
5,12,31,73.15896223154974
5,12,30,78.9668738007804
5,12,29,71.08749210259592
5,12,28,79.85792004364117
5,12,27,77.94196448142863
5,12,26,74.99506822804685
5,12,25,81.42415109122481
